deployment,record_results_cbt_mpn_e,select_the_school_where_the_sa
2023 Baseline,Low Risk/Safe,Nyarugenge.EP Kamuhoza
2023 Baseline,Low Risk/Safe,Musanze.GS Bisate
2023 Baseline,Low Risk/Safe,Rulindo.EP Buhande
2023 Baseline,Intermediate Risk/Possibly Safe,Rulindo.EP Buhande
2023 Baseline,Intermediate Risk/Probably Safe,Rulindo.EP Buhande
2023 Baseline,Unsafe,Muhanga. GS Cukiro
2023 Baseline,Intermediate Risk/Probably Safe,Muhanga. GS Cukiro
2023 Baseline,High Risk/Possibly Unsafe,Muhanga. GS Cukiro
2023 Baseline,Intermediate Risk/Probably Safe,Muhanga. GS Matyazo
2023 Baseline,High Risk/Probably Unsafe,Muhanga. GS Matyazo
2023 Baseline,Intermediate Risk/Probably Safe,Muhanga. GS Matyazo
2023 Baseline,High Risk/Possibly Unsafe,Muhanga. GS Sholi
2023 Baseline,High Risk/Possibly Unsafe,Muhanga. GS Sholi
2023 Baseline,Intermediate Risk/Possibly Safe,Muhanga. GS Matyazo
2023 Baseline,Intermediate Risk/Probably Safe,Muhanga. GS Nyabitare
2023 Baseline,Low Risk/Safe,Muhanga. Gs Mushishiro
2023 Baseline,Low Risk/Safe,Muhanga. Gs Mushishiro
2023 Baseline,Low Risk/Safe,Muhanga.TSS Bulinga school
2023 Baseline,Low Risk/Safe,Muhanga.TSS Bulinga school
2023 Baseline,Low Risk/Safe,Muhanga.TSS Bulinga school
2023 Baseline,Low Risk/Safe,Muhanga.TSS Bulinga school
2023 Baseline,Low Risk/Safe,Muhanga.Ep Busekera
2023 Baseline,Intermediate Risk/Probably Safe,Muhanga.Ep Busekera
2023 Baseline,High Risk/Possibly Unsafe,Muhanga.Ep Busekera
2023 Baseline,Low Risk/Safe,Muhanga.ITEL Rutobwe
2023 Baseline,Intermediate Risk/Possibly Safe,Muhanga.ITEL Rutobwe
2023 Baseline,Low Risk/Safe,Muhanga.ITEL Rutobwe
2023 Baseline,High Risk/Probably Unsafe,Muhanga. College Saint Jean Nyarusange
2023 Baseline,Low Risk/Safe,Muhanga. EP Kaduha
2023 Baseline,Low Risk/Safe,Muhanga. EP Kaduha
2023 Baseline,Low Risk/Safe,Muhanga. College Saint Jean Nyarusange
2023 Baseline,Low Risk/Safe,Muhanga. Ep Kavumu
2023 Baseline,Low Risk/Safe,Muhanga.GS Kibyimba
2023 Baseline,Unsafe,Muhanga. Ep Kavumu
2023 Baseline,Low Risk/Safe,Muhanga.GS Kibyimba
2023 Baseline,Low Risk/Safe,Muhanga.GS Kibyimba
2023 Baseline,Low Risk/Safe,Muhanga. College Saint Jean Nyarusange
2023 Baseline,Low Risk/Safe,Muhanga. College Saint Jean Nyarusange
2023 Baseline,Unsafe,Muhanga. GS Buramba
2023 Baseline,Unsafe,Muhanga. GS Buramba
2023 Baseline,Unsafe,Muhanga. GS Buramba
2023 Baseline,Low Risk/Safe,Muhanga. EP Kabacuzi
2023 Baseline,Unsafe,Muhanga. EP Kabacuzi
2023 Baseline,Unsafe,Muhanga. EP Kabacuzi
2023 Baseline,Unsafe,Muhanga. Ep Kibanda
2023 Baseline,Unsafe,Muhanga. Ep Kibanda
2023 Baseline,Unsafe,Muhanga.GS Muhanga
2023 Baseline,Unsafe,Muhanga. Ep Kibanda
2023 Baseline,Low Risk/Safe,Muhanga.GS Muhanga
2023 Baseline,Low Risk/Safe,Muhanga.GS Muhanga
2023 Baseline,Intermediate Risk/Probably Safe,Muhanga. GS Cyiciro
2023 Baseline,Unsafe,Muhanga. GS Cyiciro
