deployment,results_cbt_mpn_e_coli_health_risk_category
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,High Risk/Possibly Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,High Risk/Possibly Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,High Risk/Possibly Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,High Risk/Possibly Unsafe
Baseline March 2026,High Risk/Possibly Unsafe
Baseline March 2026,Intermediate Risk/Possibly Safe
Baseline March 2026,Intermediate Risk/Possibly Safe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,High Risk/Possibly Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,High Risk/Possibly Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,High Risk/Probably Unsafe
Baseline March 2026,Unsafe
Baseline March 2026,Intermediate Risk/Possibly Safe
Baseline March 2026,Intermediate Risk/Possibly Safe
Baseline March 2026,Intermediate Risk/Possibly Safe
