deployment,water_point_or_filter,school_id,ecoli_mpn_risk
Migori Baseline Surveys July 2025,Water point,1039875535,Low Risk/Safe
July 2024 Baseline,Water point,709532163,Low Risk/Safe
July 2024 Baseline,Water point,709532273,Unsafe
July 2024 Baseline,Water point,709532273,Unsafe
July 2024 Baseline,Water point,709533418,High Risk/Probably Unsafe
July 2024 Baseline,Water point,709533418,Unsafe
July 2024 Baseline,Water point,709533470,Unsafe
July 2024 Baseline,Water point,709533528,Intermediate Risk/Probably Safe
July 2024 Baseline,Water point,709533607,Low Risk/Safe
July 2024 Baseline,Water point,709533786,High Risk/Probably Unsafe
July 2024 Baseline,Water point,709583059,Intermediate Risk/Possibly Safe
September 2024 Monitoring,Filter,709583059,Low Risk/Safe
September 2024 Monitoring,Filter,709583059,Low Risk/Safe
September 2024 Monitoring,Filter,709583059,Low Risk/Safe
July 2024 Baseline,Water point,709583121,Intermediate Risk/Probably Safe
July 2024 Baseline,Water point,709583190,Unsafe
July 2024 Baseline,Water point,709583190,High Risk/Probably Unsafe
July 2024 Baseline,Water point,709583509,High Risk/Possibly Unsafe
July 2024 Baseline,Water point,709583509,Unsafe
January 2025 Baseline,Water point,709775878,Unsafe
January 2025 Baseline,Water point,709775919,Unsafe
January 2025 Baseline,Water point,709775940,Unsafe
January 2025 Baseline,Water point,709775964,Low Risk/Safe
January 2025 Baseline,Water point,709776006,Unsafe
January 2025 Baseline,Water point,709776037,High Risk/Probably Unsafe
January 2025 Baseline,Water point,709776075,Unsafe
January 2025 Baseline,Water point,709776075,Unsafe
January 2025 Baseline,Water point,709776123,Intermediate Risk/Possibly Safe
January 2025 Baseline,Water point,709776202,Unsafe
January 2025 Baseline,Water point,709776233,Unsafe
January 2025 Baseline,Water point,709776257,Low Risk/Safe
January 2025 Baseline,Water point,709776295,High Risk/Probably Unsafe
January 2025 Baseline,Water point,709776910,Unsafe
January 2025 Baseline,Water point,709776941,Intermediate Risk/Possibly Safe
January 2025 Baseline,Water point,709776965,Low Risk/Safe
January 2025 Baseline,Water point,709776989,High Risk/Probably Unsafe
July 2024 Baseline,Water point,714090335,Unsafe
July 2024 Baseline,Water point,714090366,High Risk/Probably Unsafe
July 2024 Baseline,Water point,714090469,Low Risk/Safe
July 2024 Baseline,Water point,714090548,Low Risk/Safe
July 2024 Baseline,Water point,714090610,Unsafe
July 2024 Baseline,Water point,714090672,Unsafe
July 2024 Baseline,Water point,714090737,Unsafe
July 2024 Baseline,Water point,714091381,High Risk/Probably Unsafe
July 2024 Baseline,Water point,714091453,Low Risk/Safe
July 2024 Baseline,Water point,714091453,Low Risk/Safe
July 2024 Baseline,Water point,714091587,Unsafe
July 2024 Baseline,Water point,714091587,Unsafe
July 2024 Baseline,Water point,714091642,High Risk/Possibly Unsafe
July 2024 Baseline,Water point,714091714,Unsafe
July 2024 Baseline,Water point,714091714,Unsafe
July 2024 Baseline,Water point,714091848,Unsafe
July 2024 Baseline,Water point,714091893,Intermediate Risk/Probably Safe
July 2024 Baseline,Water point,714091893,High Risk/Possibly Unsafe
July 2024 Baseline,Water point,714092021,Unsafe
July 2024 Baseline,Water point,714092083,Low Risk/Safe
July 2024 Baseline,Water point,714092083,Intermediate Risk/Probably Safe
July 2024 Baseline,Water point,714093194,Low Risk/Safe
July 2024 Baseline,Water point,714093280,Low Risk/Safe
July 2024 Baseline,Water point,714093280,Unsafe
July 2024 Baseline,Water point,714093376,Low Risk/Safe
July 2024 Baseline,Water point,714093455,Low Risk/Safe
July 2024 Baseline,Water point,714093479,Unsafe
September 2024 Monitoring,Filter,714093479,Low Risk/Safe
September 2024 Monitoring,Filter,714093479,Low Risk/Safe
September 2024 Monitoring,Filter,714093479,Low Risk/Safe
September 2024 Monitoring,Filter,714093479,Low Risk/Safe
September 2024 Monitoring,Filter,714093479,Low Risk/Safe
January 2025 Baseline,Water point,714093620,Unsafe
January 2025 Baseline,Water point,714093675,Unsafe
January 2025 Baseline,Water point,714093699,Low Risk/Safe
January 2025 Baseline,Water point,714093699,Unsafe
January 2025 Baseline,Water point,714093747,High Risk/Probably Unsafe
January 2025 Baseline,Water point,714093950,Unsafe
January 2025 Baseline,Water point,714093981,Unsafe
January 2025 Baseline,Water point,714094030,Unsafe
July 2024 Baseline,Water point,714105866,Low Risk/Safe
July 2024 Baseline,Water point,714105952,Low Risk/Safe
July 2024 Baseline,Water point,714106582,Unsafe
July 2024 Baseline,Water point,714106685,Low Risk/Safe
July 2024 Baseline,Water point,714106805,Unsafe
September 2024 Monitoring,Filter,714106805,Low Risk/Safe
September 2024 Monitoring,Filter,714106805,Low Risk/Safe
September 2024 Monitoring,Filter,714106805,Low Risk/Safe
September 2024 Monitoring,Filter,714106805,Low Risk/Safe
September 2024 Monitoring,Filter,714106805,Low Risk/Safe
September 2024 Monitoring,Filter,714106805,Low Risk/Safe
September 2024 Monitoring,Filter,714106805,Low Risk/Safe
July 2024 Baseline,Water point,714106908,Unsafe
July 2024 Baseline,Water point,714106908,Unsafe
July 2024 Baseline,Water point,714108302,Low Risk/Safe
July 2024 Baseline,Water point,714108302,Low Risk/Safe
July 2024 Baseline,Water point,714108450,High Risk/Possibly Unsafe
July 2024 Baseline,Water point,714108450,Unsafe
July 2024 Baseline,Water point,714108625,High Risk/Probably Unsafe
July 2024 Baseline,Water point,714108625,Low Risk/Safe
September 2024 Monitoring,Filter,714108625,Low Risk/Safe
September 2024 Monitoring,Filter,714108625,Low Risk/Safe
September 2024 Monitoring,Filter,714108625,Intermediate Risk/Possibly Safe
September 2024 Monitoring,Filter,714108625,Low Risk/Safe
July 2024 Baseline,Water point,714108694,Unsafe
July 2024 Baseline,Water point,714108766,Low Risk/Safe
July 2024 Baseline,Water point,714108766,High Risk/Probably Unsafe
July 2024 Baseline,Water point,714108821,Low Risk/Safe
July 2024 Baseline,Water point,714108821,Intermediate Risk/Probably Safe
September 2024 Monitoring,Filter,714108821,Low Risk/Safe
September 2024 Monitoring,Filter,714108821,Low Risk/Safe
September 2024 Monitoring,Filter,714108821,Low Risk/Safe
September 2024 Monitoring,Filter,714108821,Low Risk/Safe
July 2024 Baseline,Water point,714108890,Unsafe
July 2024 Baseline,Water point,714108890,Unsafe
July 2024 Baseline,Water point,714108962,Unsafe
July 2024 Baseline,Water point,714109066,Unsafe
July 2024 Baseline,Water point,714109114,Unsafe
July 2024 Baseline,Water point,714109114,Unsafe
July 2024 Baseline,Water point,714109248,Unsafe
July 2024 Baseline,Water point,714109248,Unsafe
July 2024 Baseline,Water point,714118251,Low Risk/Safe
July 2024 Baseline,Water point,714118251,Unsafe
July 2024 Baseline,Water point,714118402,Unsafe
July 2024 Baseline,Water point,714118402,Unsafe
July 2024 Baseline,Water point,714118471,Unsafe
July 2024 Baseline,Water point,714118543,Intermediate Risk/Probably Safe
July 2024 Baseline,Water point,714118543,Intermediate Risk/Possibly Safe
July 2024 Baseline,Water point,714118622,Unsafe
July 2024 Baseline,Water point,714120171,High Risk/Probably Unsafe
July 2024 Baseline,Water point,714120171,High Risk/Probably Unsafe
July 2024 Baseline,Water point,714120250,Unsafe
July 2024 Baseline,Water point,714124584,Unsafe
September 2024 Monitoring,Filter,714124584,Intermediate Risk/Probably Safe
September 2024 Monitoring,Filter,714124584,Low Risk/Safe
September 2024 Monitoring,Filter,714124584,Low Risk/Safe
September 2024 Monitoring,Filter,714124584,Low Risk/Safe
September 2024 Monitoring,Filter,714124584,Low Risk/Safe
September 2024 Monitoring,Filter,714124584,Low Risk/Safe
September 2024 Monitoring,Filter,714124584,Low Risk/Safe
July 2024 Baseline,Water point,714131911,Low Risk/Safe
July 2024 Baseline,Water point,714131911,Unsafe
September 2024 Monitoring,Filter,714131911,Low Risk/Safe
September 2024 Monitoring,Filter,714131911,Low Risk/Safe
September 2024 Monitoring,Filter,714131911,Low Risk/Safe
September 2024 Monitoring,Filter,714131911,Unsafe
September 2024 Monitoring,Filter,714131911,Low Risk/Safe
July 2024 Baseline,Water point,714134361,High Risk/Possibly Unsafe
July 2024 Baseline,Water point,714134361,Intermediate Risk/Probably Safe
July 2024 Baseline,Water point,714134464,Low Risk/Safe
July 2024 Baseline,Water point,714134512,Intermediate Risk/Probably Safe
July 2024 Baseline,Water point,714134512,High Risk/Possibly Unsafe
July 2024 Baseline,Water point,714134567,Low Risk/Safe
July 2024 Baseline,Water point,714134567,Intermediate Risk/Probably Safe
July 2024 Baseline,Water point,714134622,Unsafe
July 2024 Baseline,Water point,714134622,Unsafe
July 2024 Baseline,Water point,714134718,Unsafe
July 2024 Baseline,Water point,714134718,Intermediate Risk/Possibly Safe
July 2024 Baseline,Water point,714134794,Unsafe
July 2024 Baseline,Water point,714134794,High Risk/Possibly Unsafe
September 2024 Monitoring,Filter,714134794,Low Risk/Safe
September 2024 Monitoring,Filter,714134794,Unsafe
September 2024 Monitoring,Filter,714134794,Intermediate Risk/Probably Safe
September 2024 Monitoring,Filter,714134794,Intermediate Risk/Possibly Safe
September 2024 Monitoring,Filter,714134794,Low Risk/Safe
September 2024 Monitoring,Filter,714134794,Low Risk/Safe
September 2024 Monitoring,Filter,714134794,Low Risk/Safe
July 2024 Baseline,Water point,714137890,High Risk/Possibly Unsafe
July 2024 Baseline,Water point,714138279,Unsafe
July 2024 Baseline,Water point,714138334,Unsafe
July 2024 Baseline,Water point,714138406,Intermediate Risk/Possibly Safe
July 2024 Baseline,Water point,714138406,Unsafe
July 2024 Baseline,Water point,714139012,High Risk/Probably Unsafe
July 2024 Baseline,Water point,714139067,Unsafe
July 2024 Baseline,Water point,714139108,Intermediate Risk/Possibly Safe
July 2024 Baseline,Water point,714139108,Intermediate Risk/Probably Safe
July 2024 Baseline,Water point,714139201,Unsafe
